url,registrable,text
,goibibo.com," Domain: goibibo.com
Registrable Domain: goibibo.com

📊 Metadata:
   First Seen: 1760452828453"
,goindigo.in," Domain: goindigo.in
Registrable Domain: goindigo.in

📊 Metadata:
   First Seen: 1760452828453"
,yatra.com," Domain: yatra.com
Registrable Domain: yatra.com

📊 Metadata:
   First Seen: 1760452828453"
,airvistara.com," Domain: airvistara.com
Registrable Domain: airvistara.com

📊 Metadata:
   First Seen: 1760452828454"
,denabank.com," Domain: denabank.com
Registrable Domain: denabank.com

📊 Metadata:
   First Seen: 1760452828454"
,starhealth.in," Domain: starhealth.in
Registrable Domain: starhealth.in

📊 Metadata:
   First Seen: 1760452828454"
,drdo.gov.in," Domain: drdo.gov.in
Registrable Domain: drdo.gov.in

📊 Metadata:
   First Seen: 1760452966638"
,iitm.ac.in," Domain: iitm.ac.in
Registrable Domain: iitm.ac.in

📊 Metadata:
   First Seen: 1760452956358"
,bihar.gov.in," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: bihar.gov.in
Registrable Domain: bihar.gov.in

📡 DNS Records:
   MX (Mail): mailgw.nic.in
   NS (Nameservers): dns3.bihar.gov.in, dns2.bihar.gov.in, dns4.bihar.gov.in, dns1.bihar.gov.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 6419 days
   Days Until Expiry: 154

📊 Metadata:
   First Seen: 2025-10-14T14:43:05.298878+00:00
   Processing Stage: rules:benign"
,email.gov.in," Domain: email.gov.in
Registrable Domain: email.gov.in

📡 DNS Records:
   A (IPv4): 164.100.15.5
   NS (Nameservers): ns7.nic.in, ns2.nic.in, ns1.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 3218 days
   Days Until Expiry: 68

🌍 Network & Location:
   ASN: 4758
   Country: IN, Delhi

📊 Metadata:
   First Seen: 1760500622.4914806
   Processing Stage: resolved"
,manipalhospitals.com," Domain: manipalhospitals.com
Registrable Domain: manipalhospitals.com

📊 Metadata:
   First Seen: 1760452828460"
,fortishealthcare.com," Domain: fortishealthcare.com
Registrable Domain: fortishealthcare.com

📊 Metadata:
   First Seen: 1760452828460"
,cg.gov.in," 🚨 VERDICT: BENIGN (Risk Score: 0/100, Confidence: 0.50)

Domain: cg.gov.in
Registrable Domain: cg.gov.in

📡 DNS Records:
   A (IPv4): 164.100.150.66
   MX (Mail): mailgw.nic.in
   NS (Nameservers): ns7.nic.in, ns2.nic.in, ns1.nic.in, ns10.nic.in

📋 WHOIS Information:
   Registrar: National Informatics Centre
   Domain Age: 7388 days
   Days Until Expiry: 281

🌍 Network & Location:
   ASN: 4758
   Country: IN, Jaipur

📊 Metadata:
   First Seen: 2025-10-14T14:43:44.565274+00:00
   Processing Stage: rules:ben"
,hp.gov.in," Domain: hp.gov.in
Registrable Domain: hp.gov.in

📊 Metadata:
   First Seen: 1760453019133"
